df.ADM1_VI,provinceMask,df.ADM2_VI,Mask
Quảng Nam,Quảng Nam,Huyện Phước Sơn,Huyện Phước Sơn
Quảng Nam,Quảng Nam,Huyện Quế Sơn,Huyện Quế Sơn
Quảng Nam,Quảng Nam,TP. Tam Kỳ,Thành phố Tam Kỳ
Quảng Nam,Quảng Nam,Huyện Tây Giang,Huyện Tây Giang
Quảng Nam,Quảng Nam,Huyện Thăng Bình,Huyện Thăng Bình
Quảng Nam,Quảng Nam,Huyện Tiên Phước,Huyện Tiên Phước
Quảng Ngãi,Quảng Ngãi,Huyện Ba Tơ,Huyện Ba Tơ
Quảng Ngãi,Quảng Ngãi,Huyện Bình Sơn,Huyện Bình Sơn
Quảng Ngãi,Quảng Ngãi,Huyện Đức Phổ,Huyện Đức Phổ
Quảng Ngãi,Quảng Ngãi,Huyện Lý Sơn,Huyện Lý Sơn
Quảng Ngãi,Quảng Ngãi,Huyện Minh Long,Huyện Minh Long
Quảng Ngãi,Quảng Ngãi,Huyện Mộ Đức,Huyện Mộ Đức
Quảng Ngãi,Quảng Ngãi,Huyện Nghĩa Hành,Huyện Nghĩa Hành
Quảng Ngãi,Quảng Ngãi,TP. Quảng Ngãi,Thành phố Quảng Ngãi
Quảng Ngãi,Quảng Ngãi,Huyện Sơn Hà,Huyện Sơn Hà
Quảng Ngãi,Quảng Ngãi,Huyện Sơn Tây,Huyện Sơn Tây
Quảng Ngãi,Quảng Ngãi,Huyện Sơn Tịnh,Huyện Sơn Tịnh
Quảng Ngãi,Quảng Ngãi,Huyện Tây Trà,Huyện Tây Trà
Quảng Ngãi,Quảng Ngãi,Huyện Trà Bồng,Huyện Trà Bồng
Quảng Ngãi,Quảng Ngãi,Huyện Tư Nghĩa,Huyện Tư Nghĩa
Quảng Ninh,Quảng Ninh,Huyện Ba Chẽ,Huyện Ba Chẽ
Quảng Ninh,Quảng Ninh,Huyện Bình Liêu,Huyện Bình Liêu
Quảng Ninh,Quảng Ninh,TP. Cẩm Phả,Thành phố Cẩm Phả
Quảng Ninh,Quảng Ninh,Huyện Cô Tô,Huyện Cô Tô
Quảng Ninh,Quảng Ninh,Huyện Đầm Hà,Huyện Đầm Hà
Quảng Ninh,Quảng Ninh,Huyện Đông Triều,Thị xã Đông Triều
Quảng Ninh,Quảng Ninh,TP. Hạ Long,Thành phố Hạ Long
Quảng Ninh,Quảng Ninh,Huyện Hải Hà,Huyện Hải Hà
Quảng Ninh,Quảng Ninh,Huyện Hoành Bồ,Huyện Hoành Bồ
Quảng Ninh,Quảng Ninh,TP. Móng Cái,Thành phố Móng Cái
Quảng Ninh,Quảng Ninh,Thị xã Quảng Yên,Thị xã Quảng Yên
Quảng Ninh,Quảng Ninh,Huyện Tiên Yên,Huyện Tiên Yên
Quảng Ninh,Quảng Ninh,TP. Uông Bí,Thành phố Uông Bí
Quảng Ninh,Quảng Ninh,Huyện Vân Đồn,Huyện Vân Đồn
Quảng Trị,Quảng Trị,Huyện Cam Lộ,Huyện Cam Lộ
Quảng Trị,Quảng Trị,Huyện Cồn Cỏ,Huyện Cồn Cỏ
Quảng Trị,Quảng Trị,Huyện Đa Krông,Huyện Đa Krông
Quảng Trị,Quảng Trị,TP. Đông Hà,Thành phố Đông Hà
Quảng Trị,Quảng Trị,Huyện Gio Linh,Huyện Gio Linh
Quảng Trị,Quảng Trị,Huyện Hải Lăng,Huyện Hải Lăng
Quảng Trị,Quảng Trị,Huyện Hướng Hóa,Huyện Hướng Hóa
Quảng Trị,Quảng Trị,Thị xã Quảng Trị,Thị xã Quảng Trị
Quảng Trị,Quảng Trị,Huyện Triệu Phong,Huyện Triệu Phong
Quảng Trị,Quảng Trị,Huyện Vĩnh Linh,Huyện Vĩnh Linh
Sóc Trăng,Sóc Trăng,Huyện Châu Thành,Huyện Châu Thành
Sóc Trăng,Sóc Trăng,Huyện Cù Lao Dung,Huyện Cù Lao Dung
Sóc Trăng,Sóc Trăng,Huyện Kế Sách,Huyện Kế Sách
Sóc Trăng,Sóc Trăng,Huyện Long Phú,Huyện Long Phú
Sóc Trăng,Sóc Trăng,Huyện Mỹ Tú,Huyện Mỹ Tú
Sóc Trăng,Sóc Trăng,Huyện Mỹ Xuyên,Huyện Mỹ Xuyên
Sóc Trăng,Sóc Trăng,Thị xã Ngã Năm,Thị xã Ngã Năm
Sóc Trăng,Sóc Trăng,TP. Sóc Trăng,Thành phố Sóc Trăng
Sóc Trăng,Sóc Trăng,Huyện Thạnh Trị,Huyện Thạnh Trị
Sóc Trăng,Sóc Trăng,Huyện Trần Đề,Huyện Trần Đề
Sóc Trăng,Sóc Trăng,Thị xã Vĩnh Châu,Thị xã Vĩnh Châu
Sơn La,Sơn La,Huyện Bắc Yên,Huyện Bắc Yên
Sơn La,Sơn La,Huyện Mai Sơn,Huyện Mai Sơn
Sơn La,Sơn La,Huyện Mộc Châu,Huyện Mộc Châu
Sơn La,Sơn La,Huyện Mường La,Huyện Mường La
Sơn La,Sơn La,Huyện Phù Yên,Huyện Phù Yên
Sơn La,Sơn La,Huyện Quỳnh Nhai,Huyện Quỳnh Nhai
Sơn La,Sơn La,TP. Sơn La,Thành phố Sơn La
Sơn La,Sơn La,Huyện Sông Mã,Huyện Sông Mã
Sơn La,Sơn La,Huyện Sốp Cộp,Huyện Sốp Cộp
Sơn La,Sơn La,Huyện Thuận Châu,Huyện Thuận Châu
Sơn La,Sơn La,Huyện Vân Hồ,Huyện Vân Hồ
Sơn La,Sơn La,Huyện Yên Châu,Huyện Yên Châu
Tây Ninh,Tây Ninh,Huyện Bến Cầu,Huyện Bến Cầu
Tây Ninh,Tây Ninh,Huyện Châu Thành,Huyện Châu Thành
Tây Ninh,Tây Ninh,Huyện Dương Minh Châu,Huyện Dương Minh Châu
Tây Ninh,Tây Ninh,Huyện Gò Dầu,Huyện Gò Dầu
Tây Ninh,Tây Ninh,Huyện Hòa Thành,Huyện Hòa Thành
Tây Ninh,Tây Ninh,Huyện Tân Biên,Huyện Tân Biên
Tây Ninh,Tây Ninh,Huyện Tân Châu,Huyện Tân Châu
Tây Ninh,Tây Ninh,TP. Tây Ninh,Thành phố Tây Ninh
Tây Ninh,Tây Ninh,Huyện Trảng Bàng,Huyện Trảng Bàng
Thái Bình,Thái Bình,Huyện Đông Hưng,Huyện Đông Hưng
Thái Bình,Thái Bình,Huyện Hưng Hà,Huyện Hưng Hà
Thái Bình,Thái Bình,Huyện Kiến Xương,Huyện Kiến Xương
Thái Bình,Thái Bình,Huyện Quỳnh Phụ,Huyện Quỳnh Phụ
Thái Bình,Thái Bình,TP. Thái Bình,Thành phố Thái Bình
Thái Bình,Thái Bình,Huyện Thái Thụy,Huyện Thái Thụy
Thái Bình,Thái Bình,Huyện Tiền Hải,Huyện Tiền Hải
Thái Bình,Thái Bình,Huyện Vũ Thư,Huyện Vũ Thư
Thái Nguyên,Thái Nguyên,Huyện Đại Từ,Huyện Đại Từ
Thái Nguyên,Thái Nguyên,Huyện Định Hóa,Huyện Định Hóa
Thái Nguyên,Thái Nguyên,Huyện Đồng Hỷ,Huyện Đồng Hỷ
Thái Nguyên,Thái Nguyên,Huyện Phổ Yên,Thị xã Phổ Yên
Thái Nguyên,Thái Nguyên,Huyện Phú Bình,Huyện Phú Bình
Thái Nguyên,Thái Nguyên,Huyện Phú Lương,Huyện Phú Lương
Thái Nguyên,Thái Nguyên,Thị xã Sông Công,Thành phố Sông Công
Thái Nguyên,Thái Nguyên,TP. Thái Nguyên,Thành phố Thái Nguyên
Thái Nguyên,Thái Nguyên,Huyện Võ Nhai,Huyện Võ Nhai
Thanh Hóa,Thanh Hóa,Huyện Bá Thước,Huyện Bá Thước
Thanh Hóa,Thanh Hóa,Huyện Cẩm Thủy,Huyện Cẩm Thủy
Thanh Hóa,Thanh Hóa,Huyện Đông Sơn,Huyện Đông Sơn
Thanh Hóa,Thanh Hóa,Huyện Hà Trung,Huyện Hà Trung
Thanh Hóa,Thanh Hóa,Huyện Hậu Lộc,Huyện Hậu Lộc
Thanh Hóa,Thanh Hóa,Huyện Hoằng Hóa,Huyện Hoằng Hóa
Thanh Hóa,Thanh Hóa,Huyện Lang Chánh,Huyện Lang Chánh
Thanh Hóa,Thanh Hóa,Huyện Mường Lát,Huyện Mường Lát
Thanh Hóa,Thanh Hóa,Huyện Nga Sơn,Huyện Nga Sơn
Thanh Hóa,Thanh Hóa,Huyện Ngọc Lặc,Huyện Ngọc Lặc
Thanh Hóa,Thanh Hóa,Huyện Như Thanh,Huyện Như Thanh
Thanh Hóa,Thanh Hóa,Huyện Như Xuân,Huyện Như Xuân
Thanh Hóa,Thanh Hóa,Huyện Nông Cống,Huyện Nông Cống
Thanh Hóa,Thanh Hóa,Huyện Quan Hóa,Huyện Quan Hóa
Thanh Hóa,Thanh Hóa,Huyện Quan Sơn,Huyện Quan Sơn
Thanh Hóa,Thanh Hóa,Huyện Quảng Xương,Huyện Quảng Xương
Thanh Hóa,Thanh Hóa,Huyện Thạch Thành,Huyện Thạch Thành
Thanh Hóa,Thanh Hóa,Huyện Thạnh Hóa,Thành phố Thanh Hóa
Thanh Hóa,Thanh Hóa,Huyện Thiệu Hóa,Huyện Thiệu Hóa
Thanh Hóa,Thanh Hóa,Huyện Thọ Xuân,Huyện Thọ Xuân
Thanh Hóa,Thanh Hóa,Huyện Thường Xuân,Huyện Thường Xuân
Thanh Hóa,Thanh Hóa,Huyện Tĩnh Gia,Huyện Tĩnh Gia
Thanh Hóa,Thanh Hóa,Huyện Triệu Sơn,Huyện Triệu Sơn
Thanh Hóa,Thanh Hóa,Huyện Vĩnh Lộc,Huyện Vĩnh Lộc
Thanh Hóa,Thanh Hóa,Huyện Yên Định,Huyện Yên Định
Thanh Hóa,Thanh Hóa,Thị xã Bỉm Sơn,Thị xã Bỉm Sơn
Thanh Hóa,Thanh Hóa,Thị xã Sầm Sơn,Thị xã Sầm Sơn
Thừa Thiên Huế,Thừa Thiên Huế,Huyện A Lưới,Huyện A Lưới
Thừa Thiên Huế,Thừa Thiên Huế,TP. Huế,Thành phố Huế
Thừa Thiên Huế,Thừa Thiên Huế,Thị xã Hương Thủy,Thị xã Hương Thủy
Thừa Thiên Huế,Thừa Thiên Huế,Thị xã Hương Trà,Thị xã Hương Trà
Thừa Thiên Huế,Thừa Thiên Huế,Huyện Nam Đông,Huyện Nam Đông
Thừa Thiên Huế,Thừa Thiên Huế,Huyện Phong Điền,Huyện Phong Điền
Thừa Thiên Huế,Thừa Thiên Huế,Huyện Phú Lộc,Huyện Phú Lộc
Thừa Thiên Huế,Thừa Thiên Huế,Huyện Phú Vang,Huyện Phú Vang
Thừa Thiên Huế,Thừa Thiên Huế,Huyện Quảng Điền,Huyện Quảng Điền
Tiền Giang,Tiền Giang,Huyện Cái Bè,Huyện Cái Bè
Tiền Giang,Tiền Giang,Huyện Châu Thành,Huyện Châu Thành
Tiền Giang,Tiền Giang,Huyện Chợ Gạo,Huyện Chợ Gạo
Tiền Giang,Tiền Giang,Thị xã Gò Công,Thị xã Gò Công
Tiền Giang,Tiền Giang,Huyện Gò Công Đông,Huyện Gò Công Đông
Tiền Giang,Tiền Giang,Huyện Gò Công Tây,Huyện Gò Công Tây
Tiền Giang,Tiền Giang,Huyện Cai Lậy,Huyện Cai Lậy
Tiền Giang,Tiền Giang,TP. Mỹ Tho,Thành phố Mỹ Tho
Tiền Giang,Tiền Giang,Huyện Tân Phú Đông,Huyện Tân Phú Đông
Tiền Giang,Tiền Giang,Huyện Tân Phước,Huyện Tân Phước
Tiền Giang,Tiền Giang,Thị xã Cai Lậy,Thị xã Cai Lậy
Trà Vinh,Trà Vinh,Huyện Càng Long,Huyện Càng Long
Trà Vinh,Trà Vinh,Huyện Cầu Kè,Huyện Cầu Kè
Trà Vinh,Trà Vinh,Huyện Cầu Ngang,Huyện Cầu Ngang
Trà Vinh,Trà Vinh,Huyện Châu Thành,Huyện Châu Thành
Trà Vinh,Trà Vinh,Huyện Duyên Hải,Huyện Duyên Hải
Trà Vinh,Trà Vinh,Huyện Tiểu Cần,Huyện Tiểu Cần
Trà Vinh,Trà Vinh,Huyện Trà Cú,Huyện Trà Cú
Trà Vinh,Trà Vinh,TP. Trà Vinh,Thành phố Trà Vinh
Tuyên Quang,Tuyên Quang,Huyện Chiêm Hóa,Huyện Chiêm Hóa
Tuyên Quang,Tuyên Quang,Huyện Hàm Yên,Huyện Hàm Yên
Tuyên Quang,Tuyên Quang,Huyện Lâm Bình,Huyện Lâm Bình
Tuyên Quang,Tuyên Quang,Huyện Na Hang,Huyện Nà Hang
Tuyên Quang,Tuyên Quang,Huyện Sơn Dương,Huyện Sơn Dương
Tuyên Quang,Tuyên Quang,TP. Tuyên Quang,Thành phố Tuyên Quang
Tuyên Quang,Tuyên Quang,Huyện Yên Sơn,Huyện Yên Sơn
Vĩnh Long,Vĩnh Long,Thị xã Bình Minh,Thị xã Bình Minh
Vĩnh Long,Vĩnh Long,Huyện Bình Tân,Huyện Bình Tân
Vĩnh Long,Vĩnh Long,Huyện Long Hồ,Huyện Long Hồ
Vĩnh Long,Vĩnh Long,Huyện Mang Thít,Huyện Mang Thít
Vĩnh Long,Vĩnh Long,Huyện Tam Bình,Huyện Tam Bình
Vĩnh Long,Vĩnh Long,Huyện Trà Ôn,Huyện Trà Ôn
Vĩnh Long,Vĩnh Long,TP. Vĩnh Long,Thành phố Vĩnh Long
Vĩnh Long,Vĩnh Long,Huyện Vũng Liêm,Huyện Vũng Liêm
Vĩnh Phúc,Vĩnh Phúc,Huyện Bình Xuyên,Huyện Bình Xuyên
Vĩnh Phúc,Vĩnh Phúc,Huyện Lập Thạch,Huyện Lập Thạch
Vĩnh Phúc,Vĩnh Phúc,Thị xã Phúc Yên,Thị xã Phúc Yên
Vĩnh Phúc,Vĩnh Phúc,Huyện Sông Lô,Huyện Sông Lô
Vĩnh Phúc,Vĩnh Phúc,Huyện Tam Đảo,Huyện Tam Đảo
Vĩnh Phúc,Vĩnh Phúc,Huyện Tam Dương,Huyện Tam Dương
Vĩnh Phúc,Vĩnh Phúc,Huyện Vĩnh Tường,Huyện Vĩnh Tường
Vĩnh Phúc,Vĩnh Phúc,TP. Vĩnh Yên,Thành phố Vĩnh Yên
Vĩnh Phúc,Vĩnh Phúc,Huyện Yên Lạc,Huyện Yên Lạc
Yên Bái,Yên Bái,Huyện Lục Yên,Huyện Lục Yên
Yên Bái,Yên Bái,Huyện Mù Cang Chải,Huyện Mù Căng Chải
Yên Bái,Yên Bái,Thị xã Nghĩa Lộ,Thị xã Nghĩa Lộ
Yên Bái,Yên Bái,Huyện Trạm Tấu,Huyện Trạm Tấu
Yên Bái,Yên Bái,Huyện Trấn Yên,Huyện Trấn Yên
Yên Bái,Yên Bái,Huyện Văn Chấn,Huyện Văn Chấn
Yên Bái,Yên Bái,Huyện Văn Yên,Huyện Văn Yên
Yên Bái,Yên Bái,TP. Yên Bái,Thành phố Yên Bái
Yên Bái,Yên Bái,Huyện Yên Bình,Huyện Yên Bình
